max_features,n_estimators,voting,weights,accuracy,time
500,50,soft,"(1, 1, 1)",0.9735859124866596,3.96220326423645
500,50,soft,"(2, 1, 1)",0.9754535752401281,2.8927359580993652
500,50,hard,"(1, 1, 1)",0.9722518676627535,2.981494188308716
500,50,hard,"(2, 1, 1)",0.9743863393810032,2.818450450897217
500,100,soft,"(1, 1, 1)",0.974119530416222,2.936560869216919
500,100,soft,"(2, 1, 1)",0.9749199573105657,3.3358707427978516
500,100,hard,"(1, 1, 1)",0.9738527214514408,1.6594512462615967
500,100,hard,"(2, 1, 1)",0.9743863393810032,1.6888742446899414
1000,50,soft,"(1, 1, 1)",0.9866595517609391,1.2794201374053955
1000,50,soft,"(2, 1, 1)",0.9866595517609391,1.2604701519012451
1000,50,hard,"(1, 1, 1)",0.986392742796158,1.2847156524658203
1000,50,hard,"(2, 1, 1)",0.9858591248665955,1.163177251815796
1000,100,soft,"(1, 1, 1)",0.9866595517609391,1.3569800853729248
1000,100,soft,"(2, 1, 1)",0.9866595517609391,1.3696269989013672
1000,100,hard,"(1, 1, 1)",0.9866595517609391,1.5404012203216553
1000,100,hard,"(2, 1, 1)",0.9861259338313767,1.5034236907958984
